activity_label,activity_name,precision,recall,f1_score,support
A,walking,0.75,0.7553956834532374,0.7526881720430108,139
B,jogging,0.8940397350993378,0.9712230215827338,0.9310344827586207,139
C,stairs,0.7266187050359713,0.7266187050359713,0.7266187050359713,139
D,sitting,0.5976331360946746,0.7013888888888888,0.645367412140575,144
E,standing,0.5882352941176471,0.5555555555555556,0.5714285714285714,144
F,typing,0.5898876404494382,0.7394366197183099,0.65625,142
G,brushing_teeth,0.5874125874125874,0.6,0.5936395759717314,140
H,eating_soup,0.6436781609195402,0.7943262411347518,0.7111111111111111,141
I,eating_chips,0.593103448275862,0.6142857142857143,0.6035087719298246,140
J,eating_pasta,0.6194029850746269,0.538961038961039,0.5763888888888888,154
K,drinking,0.5287356321839081,0.647887323943662,0.5822784810126582,142
L,eating_sandwich,0.2714285714285714,0.1366906474820144,0.18181818181818182,139
M,kicking_ball,0.6767676767676768,0.4962962962962963,0.5726495726495726,135
O,playing_catch,0.6440677966101694,0.8702290076335878,0.7402597402597403,131
P,dribbling_basketball,0.8241758241758241,0.5434782608695652,0.6550218340611353,138
Q,writing,0.7925925925925926,0.7535211267605634,0.7725631768953068,142
R,clapping,0.9477611940298507,0.8943661971830986,0.9202898550724637,142
S,folding_clothes,0.8206896551724138,0.8321678321678322,0.8263888888888888,143
